baseline_kind,comparison,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,markov_weight,mean_delta,metric,sample_seed,scope,task_label,test_per_task,valid_records,validation_per_task
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.06720493579063169,map,101,test_by_task,10,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.005714285714285727,recall@10,101,test_by_task,10,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,top1_accuracy,101,test_by_task,2,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,mrr,101,test_by_task,2,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.01964240432694453,map,101,test_by_task,2,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,recall@10,101,test_by_task,2,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.020000000000000018,top1_accuracy,101,test_by_task,3,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.010000000000000009,mrr,101,test_by_task,3,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.03352053470247107,map,101,test_by_task,3,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0028571428571428636,recall@10,101,test_by_task,3,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,top1_accuracy,101,test_by_task,4,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,mrr,101,test_by_task,4,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.016398641338371434,map,101,test_by_task,4,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.0024489795918367363,recall@10,101,test_by_task,4,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.020000000000000018,top1_accuracy,101,test_by_task,5,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.009979683762137093,mrr,101,test_by_task,5,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.035334878593330066,map,101,test_by_task,5,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0008163265306122547,recall@10,101,test_by_task,5,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,top1_accuracy,101,test_by_task,6,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,mrr,101,test_by_task,6,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0016583068214742758,map,101,test_by_task,6,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0024489795918367085,recall@10,101,test_by_task,6,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.020000000000000018,top1_accuracy,101,test_by_task,7,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.010000000000000009,mrr,101,test_by_task,7,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.0006672469287045679,map,101,test_by_task,7,50,550,20
