ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,record_id,row_index,source_file,task_id,view
2.9914529914529915,6.7094017094017095,12.94017094017094,1.3204229217317613,3.8175479422819314,8.825749621478952,233,233,-1.7339055793991416,0.05150214592274678,0.7639484978540773,0.18454935622317598,-6.0,-1.0,1.0,2.027178154493262,234,task-05:0,0,task-05.csv,5,ast
2.986206896551724,7.041379310344827,14.282758620689656,1.4478817197669138,4.022138498050878,7.482119788398401,144,144,-2.0833333333333335,0.25,0.6805555555555556,0.06944444444444445,-6.0,-2.0,1.0,2.2438186696393765,145,task-05:1,1,task-05.csv,5,ast
2.986013986013986,7.671328671328672,17.503496503496503,1.6513864231867448,7.033164418036592,16.674956778914275,142,142,-2.7183098591549295,0.0,0.7464788732394366,0.2535211267605634,-16.0,-1.0,1.0,5.0061457964159635,143,task-06:0,0,task-06.csv,6,ast
2.9682539682539684,6.555555555555555,12.047619047619047,1.29673893749207,3.421583119049481,6.226998490772391,62,62,-1.6451612903225807,0.0,0.7903225806451613,0.20967741935483872,-5.949999999999999,-1.0,1.0,1.9927026079329677,63,task-06:1,1,task-06.csv,6,ast
2.975,6.125,11.1,1.1065147988165365,3.143942588534339,5.85576638878294,79,79,-1.1898734177215189,0.10126582278481013,0.6582278481012658,0.24050632911392406,-4.1,-1.0,1.0,1.7723327213354063,80,task-07:0,0,task-07.csv,7,ast
2.9836065573770494,6.245901639344262,11.459016393442623,1.1450793268918245,3.3173944827619772,6.578837832720871,121,121,-1.2892561983471074,0.14049586776859505,0.6446280991735537,0.21487603305785125,-5.0,-1.0,1.0,1.9044880292012,122,task-07:1,1,task-07.csv,7,ast
2.986666666666667,7.32,15.013333333333334,1.5405049677153124,4.430680910800656,7.911162296963,149,149,-2.3624161073825505,0.087248322147651,0.7919463087248322,0.12080536912751678,-9.0,-1.0,1.0,3.0635654209759604,150,task-08:0,0,task-08.csv,8,ast
2.986666666666667,7.32,15.013333333333334,1.5405049677153124,4.430680910800656,7.911162296963,149,149,-2.3624161073825505,0.087248322147651,0.7919463087248322,0.12080536912751678,-9.0,-1.0,1.0,3.0635654209759604,150,task-08:1,1,task-08.csv,8,ast
2.990521327014218,6.62085308056872,13.739336492890995,1.287896706754962,4.876517018282569,12.313569655628855,210,210,-1.6476190476190475,0.06666666666666667,0.6714285714285714,0.2619047619047619,-11.0,-1.0,1.0,3.1365159694004197,211,task-09:0,0,task-09.csv,9,ast
2.993197278911565,6.35374149659864,11.755102040816327,1.1751196126089352,3.4102740350887464,7.360116677512285,293,293,-1.372013651877133,0.08873720136518772,0.6928327645051194,0.21843003412969283,-4.399999999999999,-1.0,1.0,1.8826044989514736,294,task-09:1,1,task-09.csv,9,ast
2.994708994708995,7.841269841269841,17.8994708994709,1.6918646126971486,6.587320711389337,16.37395175320695,377,377,-2.859416445623342,0.03713527851458886,0.7320954907161804,0.23076923076923078,-15.0,-1.0,1.0,4.685195678454202,378,task-10:0,0,task-10.csv,10,ast
2.989071038251366,8.12568306010929,19.863387978142075,1.7802470235613153,6.6341183417823615,16.572672334389072,182,182,-3.1648351648351647,0.04945054945054945,0.7802197802197802,0.17032967032967034,-13.0,-2.0,1.0,4.4345391035305415,183,task-10:1,1,task-10.csv,10,ast
