feature_set,mean_delta_max,mean_delta_mean,mean_delta_min,mean_delta_std,metric,n_splits,split_seeds,task_label
length_only,0.0008163265306122269,-0.00013605442176871838,-0.001224489795918382,0.0010271883585402375,recall@10,3,"101,202,303",6
length_only,0.0709909426109232,0.061205018640908694,0.05186070249232244,0.009572762655043239,map,3,"101,202,303",7
length_only,0.013061224489795936,0.011292517006802727,0.009795918367346945,0.0016495721976846523,recall@10,3,"101,202,303",7
length_only,0.053929701647484674,0.0468377423098905,0.03928776528167188,0.007331705823941757,map,3,"101,202,303",8
length_only,0.004081632653061218,0.002040816326530609,-0.0004081632653060996,0.0022725568827877463,recall@10,3,"101,202,303",8
length_only,0.02468404199048635,0.016810438861351657,0.012004026247773747,0.006873968508285513,map,3,"101,202,303",9
length_only,0.003265306122448991,0.0006802721088435363,-0.001224489795918382,0.0023209145726846357,recall@10,3,"101,202,303",9
metric_distortion,0.0247131151970712,0.018235686810628555,0.005601544059752106,0.010942663599787815,map,3,"101,202,303",0
metric_distortion,0.0028571428571428914,0.001904761904761909,0.0,0.0016495721976846488,recall@10,3,"101,202,303",0
metric_distortion,0.03267324831795626,0.027946734667677758,0.02332004812218813,0.004677399123836573,map,3,"101,202,303",1
metric_distortion,0.0053061224489796,0.003809523809523818,0.002448979591836764,0.0014334222792996832,recall@10,3,"101,202,303",1
metric_distortion,0.011802043576169097,0.010388362829307366,0.009652529072456284,0.001224626701006395,map,3,"101,202,303",10
metric_distortion,0.0024489795918367363,0.0019047619047618998,0.0008163265306122269,0.000942612684391237,recall@10,3,"101,202,303",10
metric_distortion,0.002215891422524985,-0.002769091196242579,-0.00754115316425874,0.004882005855154078,map,3,"101,202,303",2
metric_distortion,0.002040816326530609,0.00013605442176871838,-0.0008163265306122269,0.0016495721976846327,recall@10,3,"101,202,303",2
metric_distortion,0.03117074278550791,0.026648502309435756,0.01822297393017147,0.007303281585986506,map,3,"101,202,303",3
metric_distortion,0.0024489795918367363,0.0016326530612244816,0.0008163265306122547,0.0008163265306122408,recall@10,3,"101,202,303",3
metric_distortion,-0.007716316050314975,-0.016847215731785714,-0.028021006928130143,0.010305346778108189,map,3,"101,202,303",4
metric_distortion,0.0,-0.0014965986394557633,-0.003673469387755063,0.0019289043372459436,recall@10,3,"101,202,303",4
metric_distortion,0.0030565402853114376,0.0016132309155336144,-4.209502901075801e-05,0.0015601597590544879,map,3,"101,202,303",5
metric_distortion,0.0012244897959183543,0.0006802721088435271,0.0,0.000623479686388542,recall@10,3,"101,202,303",5
metric_distortion,0.004138390004517545,0.0021370086115376865,-0.00082574601316876,0.0026179840466536326,map,3,"101,202,303",6
metric_distortion,0.0008163265306122269,0.00013605442176869062,-0.0004081632653061551,0.0006234796863885541,recall@10,3,"101,202,303",6
metric_distortion,0.0017764546584397856,-0.00389193417390817,-0.010352867213388572,0.00610337668899748,map,3,"101,202,303",7
metric_distortion,0.0008163265306122547,-0.0002721088435374182,-0.0024489795918367363,0.00188522536878245,recall@10,3,"101,202,303",7
metric_distortion,0.004719108957222384,-0.0018042637778438915,-0.008176211055698435,0.006448993472684546,map,3,"101,202,303",8
metric_distortion,0.0004081632653061551,0.0,-0.0004081632653061551,0.0004081632653061551,recall@10,3,"101,202,303",8
metric_distortion,0.0006395135000871743,-0.00044104289471787644,-0.0011568316639445353,0.0009521058515667262,map,3,"101,202,303",9
metric_distortion,0.0,-0.0002721088435374275,-0.0008163265306122824,0.00047130634219563457,recall@10,3,"101,202,303",9
shape,-0.004917892833603332,-0.009969530693074602,-0.013085245236799325,0.004414437748211675,map,3,"101,202,303",0
shape,0.0008163265306122269,-9.25185853854297e-18,-0.001224489795918382,0.0010798984943120803,recall@10,3,"101,202,303",0
shape,0.0006317018573765987,-0.00543042554182982,-0.017249699002732877,0.010236926895399947,map,3,"101,202,303",1
shape,-0.0004081632653060996,-0.00040816326530610886,-0.00040816326530612734,1.6024689053196365e-17,recall@10,3,"101,202,303",1
shape,0.03712150468133546,0.025449309449120976,0.007418909289115927,0.015839227275543162,map,3,"101,202,303",10
shape,0.008571428571428563,0.004761904761904763,0.001224489795918382,0.0036810202063860247,recall@10,3,"101,202,303",10
shape,-0.00407211498923965,-0.010420226547780928,-0.01945661743697291,0.00803684410765697,map,3,"101,202,303",2
shape,0.0016326530612244816,-0.000544217687074818,-0.002040816326530609,0.0019289043372459494,recall@10,3,"101,202,303",2
shape,0.04061426339902541,0.027578579144877564,0.012174350408698853,0.014367138370143702,map,3,"101,202,303",3
shape,0.0036734693877551183,0.002176870748299318,0.0012244897959183543,0.001312061328026268,recall@10,3,"101,202,303",3
shape,0.007664899622339183,0.003942481248128719,0.002060834992611449,0.003223773656487073,map,3,"101,202,303",4
shape,0.0016326530612245094,-0.00013605442176869986,-0.002040816326530609,0.0018405101031930258,recall@10,3,"101,202,303",4
shape,0.006219066567235032,0.0032998955964749963,0.0005711297050596809,0.0028287785827915183,map,3,"101,202,303",5
shape,0.0036734693877551183,0.0021768707482993366,0.001224489795918382,0.0013120613280262522,recall@10,3,"101,202,303",5
shape,-0.0018898716512345537,-0.0026833716962822995,-0.0033774235987517054,0.0007487457171411594,map,3,"101,202,303",6
shape,0.0016326530612245094,0.0006802721088435363,0.0,0.0008496595916188443,recall@10,3,"101,202,303",6
shape,0.030899111032795967,0.014782066825136756,0.0058186446968224725,0.013987071871840917,map,3,"101,202,303",7
shape,0.008163265306122464,0.004353741496598655,0.001224489795918382,0.003519052287449677,recall@10,3,"101,202,303",7
shape,0.01405737725113998,0.006441238559457034,0.002098487573316099,0.006617405902971786,map,3,"101,202,303",8
shape,0.0004081632653061551,0.00013605442176871838,-0.0004081632653060996,0.0004713063421956025,recall@10,3,"101,202,303",8
shape,0.021967479035069792,0.01433204959016865,0.008107095819523735,0.007037019038001755,map,3,"101,202,303",9
shape,0.0048979591836735,0.0017687074829932092,-0.0004081632653060996,0.0027783099124710506,recall@10,3,"101,202,303",9
size_depth,0.006479590284329206,-0.0009652981515370085,-0.0071610921180588205,0.006905594242765403,map,3,"101,202,303",0
size_depth,0.0032653061224489632,0.001496598639455791,-0.0004081632653060996,0.0018405101031929991,recall@10,3,"101,202,303",0
size_depth,0.023760391308181084,0.012107759439928293,0.0033497181459390957,0.010508705233206803,map,3,"101,202,303",1
size_depth,0.0028571428571428914,0.001904761904761909,0.0,0.0016495721976846488,recall@10,3,"101,202,303",1
size_depth,0.06720493579063169,0.06604078132266715,0.06459977031047293,0.0013244655353442803,map,3,"101,202,303",10
