baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,markov_weight,method,mrr,recall@10,sample_seed,scope,task_label,test_per_task,top1_accuracy,valid_records,validation_per_task
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.5762002104248253,0.9,candidate_shape,1.0,0.18816326530612243,101,test_by_task,10,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.8953705208206872,0.9,candidate_shape,1.0,0.20122448979591837,101,test_by_task,2,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.9278253744632073,0.9,candidate_shape,1.0,0.19877551020408163,101,test_by_task,3,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.8238491498338655,0.9,candidate_shape,1.0,0.20122448979591837,101,test_by_task,4,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.6015411822354093,0.9,candidate_shape,0.9603307189542484,0.18122448979591838,101,test_by_task,5,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.5963462046882282,0.9,candidate_shape,1.0,0.17959183673469387,101,test_by_task,6,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.6890520097401651,0.9,candidate_shape,0.99,0.18244897959183676,101,test_by_task,7,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.7075249378676662,0.9,candidate_shape,1.0,0.17877551020408164,101,test_by_task,8,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,shape,0.09999999999999998,,0.8310659857271219,0.9,candidate_shape,0.9866666666666667,0.1942857142857143,101,test_by_task,9,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.8667365810004619,0.9,candidate_all,1.0,0.1979591836734694,101,test_by_task,0,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.7870299273595969,0.9,candidate_all,0.9766666666666667,0.1942857142857143,101,test_by_task,1,50,0.96,550,20
