baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,map_std,markov_weight,method,mrr,mrr_std,recall@10,recall@10_std,sample_seed,scope,test_per_task,top1_accuracy,top1_accuracy_std,valid_records,validation_per_task
transition_count,dta_confirmatory_residual_sweep_transition_count_v20_t50_seed303.json,confirmatory_residual_sweep,residual_all_nonlength,0.010000000000000009,,0.7663761104839606,,0.99,candidate_residual_all_nonlength,0.9823935694437389,,0.19035250463821893,,303,test,50,0.9763636363636363,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7462905494453936,,0.9,baseline,0.9901771246117396,,0.18871985157699445,,101,test,50,0.9854545454545455,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7540015124938718,,0.9,candidate,0.9924484259296457,,0.19038961038961041,,101,test,50,0.9890909090909091,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7380156656284905,,0.9,weight_1.0,0.954319395881896,,0.43755980861244015,,101,validation,50,0.9409090909090909,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7392757153403828,,0.9,weight_0.99,0.9567330280014104,,0.43755980861244015,,101,validation,50,0.9454545454545454,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.740026164574825,,0.9,weight_0.98,0.9547496410180234,,0.4380382775119617,,101,validation,50,0.9409090909090909,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7411536801122444,,0.9,weight_0.97,0.9547731287633392,,0.4382775119617225,,101,validation,50,0.9409090909090909,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7428110175575692,,0.9,weight_0.95,0.9579726740812923,,0.4394736842105263,,101,validation,50,0.9454545454545454,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7443921263876871,,0.9,weight_0.9,0.9595406198207923,,0.4418660287081339,,101,validation,50,0.95,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7423964138135203,,0.9,weight_0.85,0.962111472542046,,0.4401913875598086,,101,validation,50,0.9545454545454546,,550,20
transition_count,dta_confirmatory_split_transition_count_all_v20_t50_seed101.json,confirmatory_split,all,0.09999999999999998,,0.7367040354599284,,0.9,weight_0.8,0.9644582362082361,,0.4354066985645933,,101,validation,50,0.9590909090909091,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7462905494453936,,0.9,baseline,0.9901771246117396,,0.18871985157699445,,101,test,50,0.9854545454545455,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7743225412992161,,0.9,candidate,0.9927543202226746,,0.19157699443413728,,101,test,50,0.9890909090909091,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7380156656284905,,0.9,weight_1.0,0.954319395881896,,0.43755980861244015,,101,validation,50,0.9409090909090909,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7429157113531791,,0.9,weight_0.99,0.9570250235875235,,0.4389952153110047,,101,validation,50,0.9454545454545454,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7471809702199428,,0.9,weight_0.98,0.9577516630725187,,0.44306220095693777,,101,validation,50,0.9454545454545454,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7508569823123133,,0.9,weight_0.97,0.9602315070925618,,0.44593301435406696,,101,validation,50,0.95,,550,20
