baseline_kind,ci95_high,ci95_low,comparison,delta_max,delta_min,delta_std,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,markov_weight,mean_delta,metric,p_one_sided,sample_seed,scope,test_per_task,valid_records,validation_per_task
transition_count,0.004230055658627087,0.0018923933209647496,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,,,,0.00300556586270872,recall@10,0.0001999600079984003,202,test,50,550,20
transition_count,0.0,-0.005454545454545455,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,branching,,,,-0.0018181818181818182,top1_accuracy,1.0,202,test,50,550,20
transition_count,0.0005584415584415584,-0.002755620819641306,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,branching,,,,-0.0006744052572240173,mrr,1.0,202,test,50,550,20
transition_count,0.0004573487267420986,-0.00034232796797838074,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,branching,,,,6.394814429045242e-05,map,0.3909218156368726,202,test,50,550,20
transition_count,0.0004081632653061223,-0.00033395176252319116,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,branching,,,,3.710575139146558e-05,recall@10,0.47890421915616876,202,test,50,550,20
transition_count,0.0,0.0,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,metric_distortion,,,,0.0,top1_accuracy,1.0,202,test,50,550,20
transition_count,0.0005987825419925834,-0.0007790617483268892,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,metric_distortion,,,,-4.6292865652883166e-05,mrr,1.0,202,test,50,550,20
transition_count,0.00904032998833715,0.0053536116913916664,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,metric_distortion,,,,0.007175606558026423,map,0.0001999600079984003,202,test,50,550,20
transition_count,0.001966604823747681,0.0007421150278293134,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,metric_distortion,,,,0.0013358070500927644,recall@10,0.0001999600079984003,202,test,50,550,20
transition_count,0.005454545454545455,0.0,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,shape,,,,0.0018181818181818182,top1_accuracy,0.5000999800039992,202,test,50,550,20
transition_count,0.005621418302306598,2.8173927175383656e-05,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,shape,,,,0.002542893785710763,mrr,0.038992201559688064,202,test,50,550,20
transition_count,0.012486381767772418,0.007187155021294377,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,shape,,,,0.009820319588444412,map,0.0001999600079984003,202,test,50,550,20
transition_count,0.0031168831168831173,0.0011131725417439702,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,shape,,,,0.002077922077922078,recall@10,0.0001999600079984003,202,test,50,550,20
transition_count,0.0,-0.005454545454545455,candidate_all_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,all,,,,-0.0018181818181818182,top1_accuracy,1.0,202,test,50,550,20
transition_count,0.0024457578638209035,-0.0023100226766872185,candidate_all_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,all,,,,0.00029162291405890534,mrr,0.41991601679664065,202,test,50,550,20
transition_count,0.016271097442429817,0.011036496399487826,candidate_all_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,all,,,,0.013643700240636292,map,0.0001999600079984003,202,test,50,550,20
transition_count,0.0036363636363636364,0.0016697588126159558,candidate_all_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,all,,,,0.0026345083487940638,recall@10,0.0001999600079984003,202,test,50,550,20
transition_count,0.007272727272727273,-0.007272727272727273,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,length_only,,,,0.0,top1_accuracy,1.0,303,test,50,550,20
transition_count,0.0043393425391616966,-0.0029134047135855557,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,length_only,,,,0.0006662479569762053,mrr,0.35332933413317336,303,test,50,550,20
transition_count,0.032206116165239294,0.01835183439606621,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,length_only,,,,0.025207457693041908,map,0.0001999600079984003,303,test,50,550,20
transition_count,0.0033024118738404456,0.000222634508348794,candidate_length_only_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,length_only,,,,0.0017068645640074213,recall@10,0.016796640671865627,303,test,50,550,20
transition_count,0.014545454545454545,-0.0018181818181818182,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,size_depth,,,,0.005454545454545455,top1_accuracy,0.1863627274545091,303,test,50,550,20
transition_count,0.008623365881430398,-0.0009030969030969031,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,size_depth,,,,0.003590176848241364,mrr,0.07218556288742252,303,test,50,550,20
transition_count,0.01852693695178624,0.010773220830776531,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,size_depth,,,,0.014686568314021344,map,0.0001999600079984003,303,test,50,550,20
transition_count,0.0025974025974025974,0.0006307977736549165,candidate_size_depth_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,size_depth,,,,0.0015955473098330241,recall@10,0.0005998800239952009,303,test,50,550,20
transition_count,0.0,0.0,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,1.0,303,test,50,550,20
transition_count,0.0,0.0,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,branching,,,,0.0,mrr,1.0,303,test,50,550,20
