ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,record_id,row_index,source_file,task_id,view
2.986111111111111,6.555555555555555,12.11111111111111,1.2692195278503018,3.282482499271655,6.060013649497727,143,143,-1.5944055944055944,0.03496503496503497,0.8041958041958042,0.16083916083916083,-4.0,-1.0,1.0,1.798358856499981,144,task-01:13,13,task-01.csv,1,ast
2.9887640449438204,6.629213483146067,11.955056179775282,1.2938435209424524,3.001430454741483,5.040086748761977,177,177,-1.6610169491525424,0.022598870056497175,0.8531073446327684,0.12429378531073447,-4.0,-1.0,1.0,1.5796391938552214,178,task-01:14,14,task-01.csv,1,ast
2.9854014598540144,6.737226277372263,11.963503649635037,1.339928102765895,2.992130976564251,5.677987665433837,136,136,-1.7794117647058822,0.022058823529411766,0.8529411764705882,0.125,-4.0,-1.0,1.0,1.6569425088121346,137,task-01:15,15,task-01.csv,1,ast
2.985294117647059,6.588235294117647,12.073529411764707,1.2832936376970132,3.1796008541474983,5.81407060113801,135,135,-1.6296296296296295,0.037037037037037035,0.8148148148148148,0.14814814814814814,-4.0,-1.0,1.0,1.6810082545052174,136,task-01:16,16,task-01.csv,1,ast
2.9863945578231292,6.7687074829931975,12.224489795918368,1.3501644876250642,2.996751136984657,5.143909837192054,146,146,-1.8082191780821917,0.00684931506849315,0.8835616438356164,0.1095890410958904,-4.0,-1.0,1.0,1.6146379571851042,147,task-01:17,17,task-01.csv,1,ast
2.978021978021978,6.472527472527473,11.461538461538462,1.2489821964261516,2.9177014110375543,4.97092136043185,90,90,-1.5333333333333334,0.07777777777777778,0.7777777777777778,0.14444444444444443,-4.0,-1.0,1.0,1.6411378166788229,91,task-01:18,18,task-01.csv,1,ast
2.9889502762430937,6.513812154696133,12.392265193370166,1.248154218567823,3.582658870657193,7.642982977316574,180,180,-1.5444444444444445,0.044444444444444446,0.7666666666666667,0.18888888888888888,-4.049999999999999,-1.0,1.0,1.8508923440156648,181,task-01:19,19,task-01.csv,1,ast
2.9791666666666665,6.458333333333333,12.395833333333334,1.2414639096199651,3.738640201404189,7.738538792232607,95,95,-1.5157894736842106,0.06315789473684211,0.7157894736842105,0.22105263157894736,-6.0,-1.0,1.0,2.025433847714643,96,task-02:0,0,task-02.csv,2,ast
2.9854014598540144,6.62043795620438,12.781021897810218,1.29561529761497,3.7026945935966467,7.307345897466051,136,136,-1.661764705882353,0.04411764705882353,0.7647058823529411,0.19117647058823528,-5.25,-1.0,1.0,2.0765518231068647,137,task-02:1,1,task-02.csv,2,ast
2.9887640449438204,6.719101123595506,13.044943820224718,1.3281260095089622,3.7114725386973233,7.469654132689971,177,177,-1.7514124293785311,0.022598870056497175,0.8022598870056498,0.1751412429378531,-5.0,-1.0,1.0,1.9759316573828585,178,task-02:2,2,task-02.csv,2,ast
2.983050847457627,6.627118644067797,13.23728813559322,1.301778775547283,3.9995690661291428,8.336846908430369,117,117,-1.6752136752136753,0.03418803418803419,0.7606837606837606,0.20512820512820512,-6.0,-1.0,1.0,2.0789093945100685,118,task-02:3,3,task-02.csv,2,ast
2.983050847457627,6.576271186440678,12.542372881355933,1.2821000440052503,3.501589904409325,6.628960687254291,117,117,-1.623931623931624,0.02564102564102564,0.7948717948717948,0.1794871794871795,-4.0,-1.0,1.0,1.8384613397862941,118,task-02:4,4,task-02.csv,2,ast
2.979591836734694,6.469387755102041,12.122448979591837,1.2452324742936163,3.335657942725913,6.144958620810929,97,97,-1.5257731958762886,0.041237113402061855,0.7731958762886598,0.18556701030927836,-4.0,-1.0,1.0,1.7474150776831843,98,task-02:5,5,task-02.csv,2,ast
2.982300884955752,6.610619469026549,12.504424778761061,1.2965734342991106,3.437002265348444,6.365176128513384,112,112,-1.6607142857142858,0.03571428571428571,0.8125,0.15178571428571427,-4.0,-1.0,1.0,1.7955976493544836,113,task-02:6,6,task-02.csv,2,ast
2.979591836734694,6.469387755102041,12.081632653061224,1.2452324742936163,3.3233990518457523,6.051940942472809,97,97,-1.5257731958762886,0.041237113402061855,0.7731958762886598,0.18556701030927836,-4.0,-1.0,1.0,1.7355755069464616,98,task-02:7,7,task-02.csv,2,ast
2.98,6.58,12.34,1.2882546332150333,3.388746080779733,6.304315981928571,99,99,-1.6363636363636365,0.030303030303030304,0.797979797979798,0.1717171717171717,-4.0,-1.0,1.0,1.7549614830994253,100,task-02:8,8,task-02.csv,2,ast
2.9849624060150375,6.56390977443609,12.924812030075188,1.2742974617973164,3.924768818360342,8.50176811345104,132,132,-1.606060606060606,0.045454545454545456,0.7348484848484849,0.2196969696969697,-5.0,-1.0,1.0,2.0588227577530946,133,task-02:9,9,task-02.csv,2,ast
2.9844961240310077,6.565891472868217,12.968992248062015,1.2758003788109347,3.988053791322959,8.567052431059883,128,128,-1.609375,0.03125,0.734375,0.234375,-6.0,-1.0,1.0,2.129533307881095,129,task-02:10,10,task-02.csv,2,ast
2.9833333333333334,6.583333333333333,12.983333333333333,1.2844151284620646,3.927644190719023,8.326647317831803,119,119,-1.6302521008403361,0.04201680672268908,0.7394957983193278,0.2184873949579832,-5.1,-1.0,1.0,2.0655865596979543,120,task-02:11,11,task-02.csv,2,ast
2.980392156862745,6.568627450980392,12.686274509803921,1.2832280997612686,3.642100783354188,7.1207793032384235,101,101,-1.6237623762376239,0.039603960396039604,0.7722772277227723,0.18811881188118812,-5.0,-1.0,1.0,1.8871713084654884,102,task-02:12,12,task-02.csv,2,ast
